,Comment,Sentiment,Negative (%),Neutral (%),Positive (%),Scaler_value,weighted_SV,weight,video_id
52,Wow wish him more blessings y wealth. Thank you for being so good person,Positive,0.15,1.02,98.83,0.99,4.95,5,GGBy50KtvRk
53,He was born to spread happiness and to make people smile,Positive,0.18,4.06,95.76,0.96,4.8,5,GGBy50KtvRk
54,Lottery jackpot for that employee 👍,Neutral,1.0,56.01,43.0,0.42,0.42,1,GGBy50KtvRk
55,Oh myyyy G !  hope this man will come to Philippines too 😮😮😮😊😊😊,Positive,0.35,6.71,92.94,0.93,0.93,1,GGBy50KtvRk
56,Mr. Beast needs an award for one of the nicest human beings on this planet Earth,Positive,0.42,2.94,96.64,0.96,4.8,5,GGBy50KtvRk
57,"""Has anyone tipped you a car?""
""No""
*throws car in tip jar*",Neutral,42.82,53.81,3.37,-0.39,-1.9500000000000002,5,GGBy50KtvRk
58,It makes me so happy to see others happy,Positive,0.14,0.84,99.02,0.99,4.95,5,GGBy50KtvRk
59,This man is literally born to make history,Positive,1.77,18.97,79.26,0.77,3.85,5,GGBy50KtvRk
60,❤De verdad... Este Man es un verdadero ser humano...😊Eres una gran persona.,Positive,0.57,24.24,75.19,0.75,0.75,1,GGBy50KtvRk
61,Mr is so kind❤,Positive,0.27,2.88,96.85,0.97,0.97,1,GGBy50KtvRk
62,"There are so many people who have so much money but use it for the wrong purposes, but Jimmy is different and spreads his kindness to the world.",Negative,47.76,42.96,9.27,-0.38,-1.9,5,GGBy50KtvRk
63,This man would make your life a whole new level,Positive,0.21,2.02,97.77,0.98,4.9,5,GGBy50KtvRk
64,Meanwhile the chef in the back who made your food is getting $10/hr with no tips,Negative,69.52,28.96,1.51,-0.68,-0.68,1,GGBy50KtvRk
65,This guy is literally the physical manifestation of kindness,Positive,4.39,20.14,75.47,0.71,3.55,5,GGBy50KtvRk
66,A car would change my life right now.,Positive,5.08,26.53,68.39,0.63,0.63,1,GGBy50KtvRk
67,My man's in the croc sport mode he knows what's up,Neutral,2.99,51.04,45.97,0.43,0.43,1,GGBy50KtvRk
68,"It’s unbelievable that people are trying to cancel him, he’s doing so much good in the world",Neutral,34.76,38.76,26.48,-0.08,-0.4,5,GGBy50KtvRk
69,Gave her the beastmobile fr,Neutral,5.36,79.94,14.7,0.09,0.44999999999999996,5,GGBy50KtvRk
70,He's mostly good.,Positive,0.5,8.37,91.13,0.91,4.55,5,GGBy50KtvRk
71,This man is so amazing he needs an entire chocolate factory just to hold all of his awards,Positive,0.27,1.24,98.49,0.98,4.9,5,GGBy50KtvRk
72,Tip: Make sure that you can also afford to keep the car.,Neutral,4.96,80.31,14.73,0.1,0.1,1,GGBy50KtvRk
73,"Twitter: Ok guys, its cancelling time",Neutral,40.99,53.53,5.49,-0.36,-1.7999999999999998,5,GGBy50KtvRk
74,This is next level kindness.,Positive,1.22,15.59,83.19,0.82,4.1,5,GGBy50KtvRk
75,you're a beast.,Neutral,39.04,41.79,19.18,-0.2,-0.2,1,GGBy50KtvRk
76,the way her face changed is priceless..,Positive,0.72,10.97,88.3,0.88,0.88,1,GGBy50KtvRk
77,And twitter really tried to cancel this man just because the car had a feastables logo.,Negative,83.8,15.46,0.73,-0.83,-4.1499999999999995,5,GGBy50KtvRk
78,This Guy is amazing,Positive,0.26,1.5,98.23,0.98,0.98,1,GGBy50KtvRk
79,Mr Beast this was really a good gesture done by you. Love you man keep it up and help the poor ❤,Positive,0.16,1.11,98.73,0.99,0.99,1,GGBy50KtvRk
80,"Jimmy is such a generous person, he deserves so much more!",Positive,0.38,2.56,97.06,0.97,4.85,5,GGBy50KtvRk
81,"Beautiful soul, bless you",Positive,0.25,1.72,98.03,0.98,0.98,1,GGBy50KtvRk
82,I’m patiently waiting for my guy to tips the next waitress a private jet,Positive,2.14,43.95,53.91,0.52,0.52,1,GGBy50KtvRk
83,Her jaws were on the ground in shock,Negative,54.51,42.91,2.58,-0.52,-2.6,5,GGBy50KtvRk
84,Literally one of the nicest people alive.,Positive,0.24,1.29,98.47,0.98,4.9,5,GGBy50KtvRk
85,Mr beas born to be kind and help others ❤😊,Positive,0.28,7.72,92.0,0.92,0.92,1,GGBy50KtvRk
86,"Mr beast needs an Oscar for being a kind,cool amazing man",Positive,0.71,5.33,93.96,0.93,0.93,1,GGBy50KtvRk
87,Bro is the definition of happiness,Positive,0.31,3.89,95.8,0.95,4.75,5,GGBy50KtvRk
88,Usually we share the tips with the coworkers 😊,Positive,0.32,23.51,76.17,0.76,0.76,1,GGBy50KtvRk
89,There are amazing people in the world,Positive,0.19,1.59,98.23,0.98,0.98,1,GGBy50KtvRk
90,"This is why he is loved. He is the world's nicest person, giving out hundreds of thousands of dollars towards the community.",Positive,0.16,1.12,98.72,0.99,4.95,5,GGBy50KtvRk
91,Give this man the key 🗝️ to the world 🌎,Positive,0.97,31.03,68.0,0.67,0.67,1,GGBy50KtvRk
92,Now that waitress can say that someone tipped her a car,Neutral,25.17,70.21,4.62,-0.21,-0.21,1,GGBy50KtvRk
93,This man is doing more community service than prisoners are.😢,Negative,42.87,39.51,17.63,-0.25,-1.25,5,GGBy50KtvRk
94,some of the best choclate shes ever gonna taste is the one in that car (partially because it's feastables) but also because it came with a CAR,Positive,0.3,3.93,95.77,0.95,4.75,5,GGBy50KtvRk
95,man you are super good guy,Positive,0.31,2.59,97.1,0.97,0.97,1,GGBy50KtvRk
0,"There are only 6,500 cheetahs left in the wild. The cheetahs Ezra petted are orphaned cheetahs who are being cared for as they sadly won't be able to survive in the wild. Do NOT attempt to pet animals in the wild.",Negative,92.12,7.25,0.64,-0.91,-4.55,5,8kggT2ej-lo
1,Jimmy needs the Nobel peace prize,Neutral,21.24,65.21,13.54,-0.08,-0.4,5,8kggT2ej-lo
2,That’s the most wholesome thing ever seen😭😭,Positive,0.3,2.59,97.12,0.97,4.85,5,8kggT2ej-lo
3,Bro sent him to his spawn island,Neutral,18.74,77.83,3.43,-0.15,-0.75,5,8kggT2ej-lo
4,This is SO wholesome,Positive,0.17,2.21,97.62,0.97,4.85,5,8kggT2ej-lo
5,"Welcome home, son!",Positive,0.13,2.72,97.14,0.97,4.85,5,8kggT2ej-lo
6,The kid is going to remember this for the rest of his life. What an epic gift!,Positive,0.13,1.23,98.64,0.99,4.95,5,8kggT2ej-lo
7,Dude sent him back to respawn,Negative,56.35,41.57,2.09,-0.54,-2.7,5,8kggT2ej-lo
8,this is sooo wholesome,Positive,0.14,1.5,98.36,0.98,4.9,5,8kggT2ej-lo
9,This boy has guts..even the cheetah acknowledged him,Positive,0.62,11.26,88.12,0.88,4.4,5,8kggT2ej-lo
10,Nah bro sent him back to the spawn ☠️☠️,Neutral,39.47,57.66,2.87,-0.37,-1.85,5,8kggT2ej-lo
11,This is so cute and wholesome,Positive,0.16,1.04,98.8,0.99,4.95,5,8kggT2ej-lo
12,"*""AFRICKAAAAAAHHHHHHHHHH""* The enthusiasm and the sheer amount of joy fuels me entirely.",Positive,0.16,1.46,98.38,0.98,4.9,5,8kggT2ej-lo
13,just look how happy this guy is!,Positive,0.21,1.74,98.04,0.98,4.9,5,8kggT2ej-lo
14,Aww he’s so happy ❤,Positive,0.23,1.97,97.8,0.98,4.9,5,8kggT2ej-lo
15,Jimmy is a person who goes out of his way to see people smile and be happy,Positive,0.34,5.58,94.09,0.94,4.699999999999999,5,8kggT2ej-lo
16,this is so adorable,Positive,0.22,1.21,98.56,0.98,4.9,5,8kggT2ej-lo
17,bro returned to the spawn point,Neutral,5.85,85.99,8.15,0.02,0.1,5,8kggT2ej-lo
18,"Bro just became friends with cheetahs, what a legend",Positive,0.3,7.0,92.71,0.92,4.6000000000000005,5,8kggT2ej-lo
19,Bro sent him to spawn island,Neutral,15.8,80.33,3.87,-0.12,-0.6,5,8kggT2ej-lo
20,This is wholesome af,Positive,0.17,2.69,97.14,0.97,4.85,5,8kggT2ej-lo
21,He may be the best person to spend his money. It's great to make a child happy,Positive,0.16,1.11,98.73,0.99,4.95,5,8kggT2ej-lo
22,So wholesome😊,Positive,0.2,3.43,96.37,0.96,4.8,5,8kggT2ej-lo
23,He deserves all the money he's earned. We made the right person famous guys.,Positive,0.68,9.2,90.12,0.89,4.45,5,8kggT2ej-lo
24,Bro came back home 🏡,Positive,0.82,48.37,50.81,0.5,2.5,5,8kggT2ej-lo
25,Bro went back to his home hope he saw his fellow monkeys,Neutral,3.49,60.6,35.9,0.32,1.6,5,8kggT2ej-lo
26,Bro got taken to respawn,Negative,60.97,36.92,2.11,-0.59,-2.9499999999999997,5,8kggT2ej-lo
27,he returned to his native home,Neutral,3.26,79.03,17.72,0.14,0.7000000000000001,5,8kggT2ej-lo
28,Mr Beast returned something that should never had been taken.,Negative,59.46,38.83,1.71,-0.58,-2.9,5,8kggT2ej-lo
29,"This is so wholesome, keep this kind of stuff going.",Positive,0.25,3.83,95.92,0.96,0.96,1,8kggT2ej-lo
30,This man was literally born to make every life happy,Positive,0.49,5.36,94.15,0.94,4.699999999999999,5,8kggT2ej-lo
31,Bro really said let's go back to your home town,Neutral,15.7,77.73,6.58,-0.09,-0.44999999999999996,5,8kggT2ej-lo
32,he went back to his home,Neutral,7.95,79.69,12.36,0.04,0.2,5,8kggT2ej-lo
33,his energy was everything jimmy or anyone could have asked for,Positive,0.55,12.81,86.64,0.86,4.3,5,8kggT2ej-lo
34,Why is he so cute-,Positive,2.08,13.17,84.75,0.83,0.83,1,8kggT2ej-lo
35,The guys accent is everything,Positive,2.75,23.08,74.17,0.71,0.71,1,8kggT2ej-lo
36,Jimmy litterly should be the next president,Neutral,12.07,72.33,15.59,0.04,0.2,5,8kggT2ej-lo
37,bro returned to spawn point,Neutral,3.97,86.49,9.53,0.06,0.3,5,8kggT2ej-lo
38,"Bro, send him to where he came from",Neutral,41.0,56.32,2.69,-0.38,-1.9,5,8kggT2ej-lo
39,Bro getting to know his roots,Neutral,6.4,86.02,7.58,0.01,0.05,5,8kggT2ej-lo
40,This is too wholesome😊,Positive,0.18,2.01,97.81,0.98,4.9,5,8kggT2ej-lo
41,the fact that he immediately wanted to pet a cheetah was adorable,Positive,0.21,2.45,97.34,0.97,4.85,5,8kggT2ej-lo
42,wholesome & amazing 😍👍🏽📽️,Positive,0.12,2.43,97.45,0.97,0.97,1,8kggT2ej-lo
43,The boy is in his Hometown 🥳,Positive,0.18,9.42,90.39,0.9,4.5,5,8kggT2ej-lo
44,Jimmy needs a Medal For kindness,Neutral,3.79,64.61,31.6,0.28,1.4000000000000001,5,8kggT2ej-lo
45,This man is a legend,Positive,0.44,4.9,94.66,0.94,0.94,1,8kggT2ej-lo
46,So cute he bring him home,Positive,0.28,3.28,96.44,0.96,4.8,5,8kggT2ej-lo
47,This man deserves to get a kindness badge,Positive,1.7,20.38,77.92,0.76,3.8,5,8kggT2ej-lo
48,"God, that 's really cool , Jimmy , man , you 're the best",Positive,0.2,0.94,98.86,0.99,0.99,1,8kggT2ej-lo
49,“Ahh good to see we’re putting them back with families” - 👴🏻,Positive,0.69,11.59,87.72,0.87,4.35,5,8kggT2ej-lo
50,"This little boy had the most magical experience of his life, that's amazing!",Positive,0.18,0.62,99.2,0.99,4.95,5,8kggT2ej-lo
51,Bro just returned to spawnpoind,Neutral,3.62,87.05,9.33,0.06,0.3,5,8kggT2ej-lo
52,Bro is in his natural habitat 😂😂,Neutral,2.93,54.08,42.99,0.4,0.4,1,8kggT2ej-lo
53,Twitter users will still find a a way to cancel him for this.,Negative,67.41,31.39,1.21,-0.66,-3.3000000000000003,5,8kggT2ej-lo
54,This is wholesome,Positive,0.15,3.17,96.68,0.97,4.85,5,8kggT2ej-lo
55,I'm so glad you did the order of this wonderful boy mr deast🎉🎉,Positive,0.11,0.7,99.19,0.99,0.99,1,8kggT2ej-lo
56,"if this young man said something along the lines of a dinosaur, mr beast would have recreated jurrasic park",Neutral,15.62,75.2,9.18,-0.06,-0.3,5,8kggT2ej-lo
57,He's so cute !,Positive,0.17,1.25,98.58,0.98,4.9,5,8kggT2ej-lo
58,I'll have some of what that cheetah is on lmao 🤣,Neutral,3.77,58.68,37.55,0.34,0.34,1,8kggT2ej-lo
59,He deserves all the money he's earned. We made the right person famous guys,Positive,0.58,7.91,91.51,0.91,4.55,5,8kggT2ej-lo
60,Bro went back to his spawn point,Neutral,15.66,80.94,3.39,-0.12,-0.6,5,8kggT2ej-lo
61,That is the best reaction ever 😊❤,Positive,0.16,0.84,99.0,0.99,0.99,1,8kggT2ej-lo
62,Dude is literally doing everything for kindness ❤️,Positive,0.23,2.68,97.09,0.97,4.85,5,8kggT2ej-lo
63,made my day,Positive,0.41,3.15,96.44,0.96,0.96,1,8kggT2ej-lo
64,dude this guy has people that wanna cancel him? he’s a saint.,Negative,70.2,25.5,4.3,-0.66,-3.3000000000000003,5,8kggT2ej-lo
65,Bruh was so calm until he got to where his from then he went feral 😂😂😂😂,Neutral,23.72,55.71,20.57,-0.03,-0.03,1,8kggT2ej-lo
66,Pizza time never ends,Neutral,8.4,69.86,21.73,0.13,0.13,1,8kggT2ej-lo
67,"He spends so much money, effort and time just to see people smile and change lives, he is literally an angel",Positive,0.59,3.87,95.54,0.95,4.75,5,8kggT2ej-lo
68,Bro returned to the checkpoint,Neutral,11.59,82.11,6.3,-0.05,-0.05,1,8kggT2ej-lo
69,This man was literally born to Mack history and be a great person,Positive,0.96,8.42,90.62,0.9,4.5,5,8kggT2ej-lo
70,"It wanted to see its spawn Island, so cute 😊",Positive,0.17,2.55,97.28,0.97,4.85,5,8kggT2ej-lo
71,The cheetah's are so cute when you see the boy petting them it's just absolutely adorable,Positive,0.25,1.03,98.72,0.98,4.9,5,8kggT2ej-lo
72,Qué gana de ser ese niño😔❤️,Positive,0.79,27.58,71.63,0.71,3.55,5,8kggT2ej-lo
73,this is wonderfull mr.beat you are helping people,Positive,0.44,5.36,94.19,0.94,0.94,1,8kggT2ej-lo
74,Cheetahs need an Oscar,Neutral,17.58,70.1,12.31,-0.05,-0.25,5,8kggT2ej-lo
75,“Ahhhh yes let him meet his brothers” - 👨🏼‍🦳,Positive,1.85,42.06,56.09,0.54,0.54,1,8kggT2ej-lo
76,Did bro return to the spawnpoint,Neutral,5.64,90.02,4.34,-0.01,-0.05,5,8kggT2ej-lo
77,Get this man a Nobel peace prize now,Neutral,15.94,55.16,28.9,0.13,0.65,5,8kggT2ej-lo
78,Me alegra como llevo al niño a su hogar,Neutral,5.47,84.74,9.79,0.04,0.04,1,8kggT2ej-lo
79,Bro was sent to spawn area,Neutral,12.6,83.61,3.79,-0.09,-0.44999999999999996,5,8kggT2ej-lo
80,Honestly Mr Beast deserves a noble prize or something.,Neutral,3.54,52.63,43.83,0.4,2.0,5,8kggT2ej-lo
81,"*Raven Simone pops out of the brush*

😂😂",Neutral,11.1,70.86,18.04,0.07,0.35000000000000003,5,8kggT2ej-lo
82,He returns to  home,Neutral,1.7,68.92,29.37,0.28,1.4000000000000001,5,8kggT2ej-lo
83,It’s crazy how Jimmy went all the way to Africa to let a kid meet a cheetah. This guy is a national treasure and we must protect him at all costs.,Positive,5.05,19.61,75.34,0.7,3.5,5,8kggT2ej-lo
84,This is the most wholesome thing I’ve seen,Positive,0.19,2.36,97.45,0.97,4.85,5,8kggT2ej-lo
85,Can someone remake peaches to cheetahs for this child plz,Neutral,10.58,73.04,16.38,0.06,0.3,5,8kggT2ej-lo
86,"Cheetahs were my favorite animals growing up, and it’s heartwarming to see this boy get to see them.",Positive,0.12,0.95,98.92,0.99,4.95,5,8kggT2ej-lo
87,Bruh got him to the place he spawned,Neutral,10.46,83.83,5.71,-0.05,-0.25,5,8kggT2ej-lo
88,Imagine being Jimmy’s next door neighbor,Neutral,14.95,71.53,13.51,-0.01,-0.05,5,8kggT2ej-lo
89,This man better be in my child's history book to motivate them that they can do a lot for others and do good things,Positive,0.24,3.81,95.95,0.96,4.8,5,8kggT2ej-lo
90,Bro send him to his spawn point,Neutral,32.75,63.98,3.27,-0.29,-1.45,5,8kggT2ej-lo
91,Jimmy you are so good heart mann ❤❤,Positive,0.2,1.1,98.7,0.99,0.99,1,8kggT2ej-lo
92,"Jimmy's got to be the kindest man on earth, Letting this child see a cheetah in person before they possibly go extinct. What a kind guy!",Positive,1.27,4.46,94.27,0.93,4.65,5,8kggT2ej-lo
0,This woman literally just played another man's heart and accepted going on a date while in a relationship 😭,Negative,83.65,15.11,1.24,-0.82,-4.1,5,Y4-gFIfGXiQ
1,"Nah, that guy deserves another date 😂",Neutral,18.46,60.56,20.98,0.03,0.15,5,Y4-gFIfGXiQ
2,"Well, that was heartbreaking",Negative,93.74,5.65,0.61,-0.93,-4.65,5,Y4-gFIfGXiQ
3,The end made him look into therapy😭,Neutral,37.2,57.6,5.19,-0.32,-1.6,5,Y4-gFIfGXiQ
4,The man was litrelly born to make history and be a good man,Positive,1.13,16.36,82.51,0.81,4.050000000000001,5,Y4-gFIfGXiQ
5,This man needs a TV show,Neutral,12.97,65.75,21.29,0.08,0.4,5,Y4-gFIfGXiQ
6,jimmy is wholesome,Positive,0.35,9.44,90.21,0.9,4.5,5,Y4-gFIfGXiQ
7,jimmy is born to make every human happy.,Positive,0.47,10.68,88.86,0.88,4.4,5,Y4-gFIfGXiQ
8,"This honestly should have billions of views, it just a beautiful masterpiece",Positive,0.32,2.58,97.09,0.97,4.85,5,Y4-gFIfGXiQ
9,"Damn,the ending was just emotional damage",Negative,96.6,3.0,0.4,-0.96,-4.8,5,Y4-gFIfGXiQ
10,This man should be the worlds next president 🗿,Positive,1.07,13.49,85.44,0.84,4.2,5,Y4-gFIfGXiQ
11,Give this man 6 months in the gym. He finna be a whole new person 😂,Positive,2.19,41.03,56.78,0.55,2.75,5,Y4-gFIfGXiQ
12,jimmy gonna need to pay an extra 500$ for his therapy lol,Neutral,26.66,68.05,5.3,-0.21,-1.05,5,Y4-gFIfGXiQ
13,"This woman literrally just played another  
man's heart and accepted going on a date while in a relationship😭",Negative,61.45,34.56,3.99,-0.57,-2.8499999999999996,5,Y4-gFIfGXiQ
14,Respect for the cameraman who traveled with an stranger .what an legend.🗿,Positive,1.54,16.12,82.34,0.81,4.050000000000001,5,Y4-gFIfGXiQ
15,You really couldn't find ANYONE else single😭,Negative,50.89,42.19,6.92,-0.44,-2.2,5,Y4-gFIfGXiQ
16,Either the woman is ready to jump ship or she's a serial dating extorter 😂,Neutral,43.74,52.52,3.74,-0.4,-2.0,5,Y4-gFIfGXiQ
17,The cameraman needs an oscar,Neutral,11.02,75.12,13.87,0.03,0.15,5,Y4-gFIfGXiQ
18,Jimmy is really a good person,Positive,0.33,3.26,96.41,0.96,4.8,5,Y4-gFIfGXiQ
19,This man was literally born to make every life happy,Positive,0.49,5.36,94.15,0.94,4.699999999999999,5,Y4-gFIfGXiQ
20,That man literally said: Things are going to go better.,Positive,1.31,12.09,86.6,0.85,4.25,5,Y4-gFIfGXiQ
21,Get this man another date!,Neutral,10.53,55.55,33.92,0.23,1.1500000000000001,5,Y4-gFIfGXiQ
22,Man is probably an S rated super villain now,Negative,57.56,39.86,2.58,-0.55,-2.75,5,Y4-gFIfGXiQ
23,This lady was really in a whole relationship and still said yes to another date 🤦🏽‍♂️,Negative,61.68,34.19,4.13,-0.58,-2.9,5,Y4-gFIfGXiQ
24,Never seen someone change facial expression that quickly,Neutral,39.37,55.61,5.02,-0.34,-1.7000000000000002,5,Y4-gFIfGXiQ
25,bro got friend zoned 😭,Negative,72.79,24.95,2.26,-0.71,-3.55,5,Y4-gFIfGXiQ
26,"Imagine flying to Italy on a blind date, things go well and you're rejected because she's in a relationship",Neutral,44.12,46.53,9.35,-0.35,-0.35,1,Y4-gFIfGXiQ
27,"Bro went from happy to traumatized really fast

edit: btw ikea's vanilla ice cream is straight up bussin",Neutral,32.8,46.59,20.61,-0.12,-0.6,5,Y4-gFIfGXiQ
28,Well that de-escalated rapidly.,Neutral,5.9,59.83,34.27,0.28,1.4000000000000001,5,Y4-gFIfGXiQ
29,Bro need Jason Tatum to tie his tie,Neutral,20.43,75.47,4.1,-0.16,-0.8,5,Y4-gFIfGXiQ
30,You better give this guy another date,Neutral,42.93,52.71,4.36,-0.39,-1.9500000000000002,5,Y4-gFIfGXiQ
31,"After 10 years: Dad, how do you meet Mommy?
John: It's a long story.....",Neutral,15.98,78.87,5.14,-0.11,-0.55,5,Y4-gFIfGXiQ
32,"Bro… they are playing wingman on Rialto 
That’s crazy 🤯",Positive,3.24,27.04,69.73,0.66,3.3000000000000003,5,Y4-gFIfGXiQ
33,Me dan ganas de llorar.  Qué emocionante!,Neutral,7.43,64.26,28.32,0.21,0.21,1,Y4-gFIfGXiQ
34,Bro literally found a gf 😂😂😂😂,Positive,1.94,33.07,64.99,0.63,3.15,5,Y4-gFIfGXiQ
35,“You look terrible!” Bro let his intrusive thoughts win 😂😂😂,Negative,82.03,14.72,3.25,-0.79,-3.95,5,Y4-gFIfGXiQ
36,"Veo que todos se preguntan que quien iría a una cita estando en una relación, pero la verdadera pregunta es, quien se perdería un viaje a Venecia y 500 dolares?",Neutral,13.38,80.7,5.92,-0.07,-0.35000000000000003,5,Y4-gFIfGXiQ
